net,length_um
net79,272.44µm
net87,217.04µm
net120,201.88µm
_0078_,186.07µm
net124,181.41µm
net86,174.05µm
_0079_,171.37µm
net123,159.35µm
net108,157.39µm
_0074_,155.175µm
_0070_,152.565µm
clknet_0_clk,150.7µm
net83,142.66µm
_0076_,142.64µm
net11,140.29µm
net104,138.52µm
net110,137.15µm
net115,136.5µm
net119,132.42µm
net78,131.92µm
net107,128.99µm
net134,127.41µm
net117,126.67µm
net17,126.09µm
net128,124.96µm
net116,123.81µm
net125,122.36µm
net109,121.5µm
net106,121.28µm
net80,120.5µm
net129,117.86µm
net118,116.34µm
net185,115.74µm
net102,115.36µm
net18,115.31µm
net100,114.93µm
net126,113.67µm
net136,113.38µm
_0073_,112.75µm
_0232_,112.34µm
_0085_,112.02µm
_0408_,111.37µm
net122,111.37µm
net75,106.54µm
net121,105µm
net147,104.78µm
clknet_3_1__leaf_clk,104.57µm
net183,101.4µm
net105,101.3µm
net111,101.05µm
_0086_,100.08µm
net133,99.94µm
clknet_3_7__leaf_clk,99.92µm
net113,99.54µm
net77,97.1µm
clk,96.61µm
net92,95.34µm
net131,93.84µm
net10,93.14µm
net82,91.92µm
net6,90.57µm
_0196_,88.95µm
net85,87.14µm
_0000_,86.58µm
net130,86.37µm
v_pipe,86.31µm
net81,86.25µm
net103,86.18µm
clknet_3_6__leaf_clk,85.64µm
_0080_,85.41µm
net95,85.135µm
net15,84.61µm
_0081_,83.7µm
net76,82.63µm
clknet_3_2__leaf_clk,82.14µm
net96,82.05µm
net114,80.56µm
a_in[4],79.46µm
net93,79.11µm
net94,77.475µm
_0075_,76.07µm
net84,75.02µm
clknet_3_3__leaf_clk,74.26µm
_0077_,73.88µm
_0586_,73.7µm
net72,73.34µm
net168,72.32µm
net135,72.015µm
net99,71.73µm
net74,71.62µm
net101,70.62µm
_0398_,69.68µm
_0579_,68.2µm
_0475_,67.84µm
clknet_3_0__leaf_clk,66.9µm
net2,65.94µm
_0084_,65.54µm
_0578_,65.4µm
a_in[3],65.12µm
net88,63.96µm
_0412_,62.54µm
net298,61.93µm
net40,61.84µm
net37,59.785µm
net214,59.06µm
_0576_,58.26µm
_0483_,58.03µm
net44,57.92µm
net59,57.88µm
product_reg\[2\],57.58µm
clknet_3_5__leaf_clk,57.16µm
_0353_,57.1µm
net97,56.5µm
_0511_,56.26µm
net45,54.76µm
_0376_,54.4µm
_0409_,53.98µm
_0484_,53.19µm
_0407_,52.68µm
_0083_,52.5µm
_0416_,51.64µm
_0479_,51.51µm
b_in[3],50.86µm
_0584_,50.8µm
_0366_,50.02µm
_0374_,49.55µm
net25,49.52µm
_0411_,48.98µm
_0182_,48.96µm
net14,48.84µm
_0342_,48.52µm
clknet_3_4__leaf_clk,48.4µm
net57,48.36µm
net90,48.12µm
product_reg\[0\],48.06µm
_0428_,47.8µm
_0620_,47.36µm
_0197_,47µm
_0395_,46.84µm
_0319_,46.41µm
_0582_,46.23µm
net219,46.14µm
psum[0],45.98µm
_0633_,45.615µm
a_in[2],45.44µm
product_reg\[14\],45.36µm
_0281_,45.335µm
a_in[5],45.25µm
net71,45.18µm
net43,44.955µm
net39,44.64µm
net127,44.64µm
net167,44.64µm
_0343_,44.56µm
net68,44.52µm
_0478_,44.34µm
net3,44.24µm
net42,44.1µm
_0468_,44.02µm
_0357_,43.98µm
_0476_,43.74µm
b_in[5],43.58µm
_0337_,43.26µm
b_in[2],42.82µm
net89,42.57µm
_0282_,42.54µm
_0558_,42.5µm
_0461_,42.42µm
_0460_,42.08µm
_0607_,42µm
_0256_,41.88µm
_0427_,41.86µm
_0410_,41.66µm
_0329_,41.24µm
product_reg\[15\],41.17µm
net49,41.04µm
net297,41.04µm
net41,40.98µm
_0438_,40.82µm
_0386_,40.76µm
net180,39.84µm
_0430_,39.62µm
net67,39.58µm
_0325_,39.28µm
_0216_,39.19µm
a_out[4],38.6µm
net132,38.555µm
net199,38.54µm
_0384_,38.5µm
_0477_,38.5µm
_0157_,38.44µm
_0466_,38.26µm
net12,38.14µm
_0204_,37.96µm
_0589_,37.74µm
net48,37.7µm
_0375_,37.63µm
_0462_,37.26µm
net52,37.18µm
_0094_,36.76µm
net64,36.72µm
_0393_,36.62µm
_0397_,36.42µm
_0293_,36.36µm
_0486_,36.36µm
b_in[4],36.12µm
net20,36.12µm
net38,35.56µm
_0385_,35.495µm
