Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_52_309,VGND,li1,148.1200,152.3200,0.000299
FILLER_52_305,VGND,li1,146.5100,152.3200,0.000299
FILLER_52_293,VGND,li1,143.0600,152.3200,0.000299
FILLER_52_281,VGND,li1,137.5400,152.3200,0.000291
FILLER_52_279,VGND,li1,134.0900,152.3200,0.000287
FILLER_52_273,VGND,li1,132.4800,152.3200,0.000287
FILLER_52_266,VGND,li1,128.5700,152.3200,0.000282
FILLER_52_261,VGND,li1,125.8100,152.3200,0.000279
FILLER_52_253,VGND,li1,123.7400,152.3200,0.000277
FILLER_52_251,VGND,li1,121.2100,152.3200,0.000272
FILLER_52_245,VGND,li1,119.6000,152.3200,0.000272
FILLER_52_238,VGND,li1,115.6900,152.3200,0.000265
FILLER_52_231,VGND,li1,112.4700,152.3200,0.000261
FILLER_52_225,VGND,li1,109.4800,152.3200,0.000258
FILLER_52_223,VGND,li1,108.3300,152.3200,0.000255
FILLER_52_217,VGND,li1,106.7200,152.3200,0.000255
FILLER_52_210,VGND,li1,102.8100,152.3200,0.000247
FILLER_52_203,VGND,li1,99.5900,152.3200,0.000243
FILLER_52_197,VGND,li1,96.6000,152.3200,0.000238
FILLER_52_189,VGND,li1,93.1500,152.3200,0.000227
FILLER_52_182,VGND,li1,89.9300,152.3200,0.000220
FILLER_52_174,VGND,li1,86.4800,152.3200,0.000211
FILLER_52_169,VGND,li1,83.7200,152.3200,0.000204
FILLER_52_165,VGND,li1,82.1100,152.3200,0.000204
FILLER_52_153,VGND,li1,78.6600,152.3200,0.000193
FILLER_52_146,VGND,li1,73.6000,152.3200,0.000183
FILLER_52_141,VGND,li1,70.8400,152.3200,0.000176
FILLER_52_138,VGND,li1,69.4600,152.3200,0.000171
FILLER_52_126,VGND,li1,66.2400,152.3200,0.000162
FILLER_52_119,VGND,li1,60.9500,152.3200,0.000144
FILLER_52_113,VGND,li1,57.9600,152.3200,0.000135
FILLER_52_109,VGND,li1,56.3500,152.3200,0.000135
FILLER_52_97,VGND,li1,52.9000,152.3200,0.000125
FILLER_52_85,VGND,li1,47.3800,152.3200,0.000108
FILLER_52_81,VGND,li1,43.4700,152.3200,0.000095
FILLER_52_69,VGND,li1,40.0200,152.3200,0.000081
FILLER_52_57,VGND,li1,34.5000,152.3200,0.000066
FILLER_52_53,VGND,li1,30.5900,152.3200,0.000050
FILLER_52_41,VGND,li1,27.1400,152.3200,0.000041
FILLER_52_29,VGND,li1,21.6200,152.3200,0.000034
FILLER_52_27,VGND,li1,18.1700,152.3200,0.000034
FILLER_52_15,VGND,li1,15.1800,152.3200,0.000034
FILLER_52_3,VGND,li1,9.6600,152.3200,0.000034
FILLER_51_308,VGND,li1,147.8900,152.3200,0.000299
FILLER_51_289,VGND,li1,139.1500,152.3200,0.000294
FILLER_51_281,VGND,li1,136.6200,152.3200,0.000291
FILLER_51_249,VGND,li1,122.8200,152.3200,0.000274
FILLER_51_237,VGND,li1,117.3000,152.3200,0.000269
FILLER_51_225,VGND,li1,111.7800,152.3200,0.000261
FILLER_51_223,VGND,li1,108.3300,152.3200,0.000255
FILLER_51_219,VGND,li1,107.1800,152.3200,0.000255
FILLER_51_213,VGND,li1,103.7300,152.3200,0.000250
FILLER_51_205,VGND,li1,101.6600,152.3200,0.000247
FILLER_51_193,VGND,li1,97.0600,152.3200,0.000238
FILLER_51_181,VGND,li1,91.5400,152.3200,0.000227
FILLER_51_169,VGND,li1,86.0200,152.3200,0.000211
FILLER_51_166,VGND,li1,82.3400,152.3200,0.000204
FILLER_51_154,VGND,li1,79.1200,152.3200,0.000193
FILLER_51_142,VGND,li1,73.6000,152.3200,0.000183
FILLER_51_137,VGND,li1,69.0000,152.3200,0.000171
FILLER_51_125,VGND,li1,65.7800,152.3200,0.000162
FILLER_51_113,VGND,li1,60.2600,152.3200,0.000144
FILLER_51_109,VGND,li1,56.3500,152.3200,0.000135
FILLER_51_97,VGND,li1,52.9000,152.3200,0.000125
FILLER_51_85,VGND,li1,47.3800,152.3200,0.000108
FILLER_51_77,VGND,li1,41.4000,152.3200,0.000089
FILLER_51_69,VGND,li1,39.1000,152.3200,0.000081
FILLER_51_57,VGND,li1,34.5000,152.3200,0.000066
FILLER_51_55,VGND,li1,31.0500,152.3200,0.000050
FILLER_51_51,VGND,li1,29.9000,152.3200,0.000050
FILLER_51_39,VGND,li1,26.2200,152.3200,0.000034
FILLER_51_27,VGND,li1,20.7000,152.3200,0.000034
FILLER_51_15,VGND,li1,15.1800,152.3200,0.000034
FILLER_51_3,VGND,li1,9.6600,152.3200,0.000034
FILLER_50_309,VGND,li1,148.1200,146.8800,0.001387
FILLER_50_302,VGND,li1,145.8200,146.8800,0.001387
FILLER_50_251,VGND,li1,121.2100,146.8800,0.001338
FILLER_50_245,VGND,li1,119.6000,146.8800,0.001338
FILLER_50_193,VGND,li1,94.9900,146.8800,0.001184
FILLER_50_189,VGND,li1,92.6900,146.8800,0.001164
FILLER_50_184,VGND,li1,90.6200,146.8800,0.001144
FILLER_50_160,VGND,li1,80.9600,146.8800,0.001033
FILLER_50_156,VGND,li1,77.5100,146.8800,0.000983
FILLER_50_139,VGND,li1,69.6900,146.8800,0.000898
FILLER_50_119,VGND,li1,60.4900,146.8800,0.000758
FILLER_50_115,VGND,li1,59.3400,146.8800,0.000758
FILLER_50_94,VGND,li1,49.2200,146.8800,0.000604
FILLER_50_82,VGND,li1,43.7000,146.8800,0.000489
FILLER_50_73,VGND,li1,39.3300,146.8800,0.000440
FILLER_50_65,VGND,li1,37.2600,146.8800,0.000395
FILLER_50_53,VGND,li1,32.6600,146.8800,0.000322
FILLER_50_41,VGND,li1,27.1400,146.8800,0.000222
FILLER_50_29,VGND,li1,21.6200,146.8800,0.000187
FILLER_50_27,VGND,li1,18.1700,146.8800,0.000187
FILLER_50_15,VGND,li1,15.1800,146.8800,0.000187
FILLER_50_3,VGND,li1,9.6600,146.8800,0.000187
FILLER_49_308,VGND,li1,147.8900,146.8800,0.001387
