Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_52_309,VPWR,li1,148.1200,155.0400,1.799859
FILLER_52_305,VPWR,li1,146.5100,155.0400,1.799859
FILLER_52_293,VPWR,li1,143.0600,155.0400,1.799859
FILLER_52_281,VPWR,li1,137.5400,155.0400,1.799859
FILLER_52_279,VPWR,li1,134.0900,155.0400,1.799859
FILLER_52_273,VPWR,li1,132.4800,155.0400,1.799859
FILLER_52_266,VPWR,li1,128.5700,155.0400,1.799859
FILLER_52_261,VPWR,li1,125.8100,155.0400,1.799859
FILLER_52_253,VPWR,li1,123.7400,155.0400,1.799859
FILLER_52_251,VPWR,li1,121.2100,155.0400,1.799859
FILLER_52_245,VPWR,li1,119.6000,155.0400,1.799859
FILLER_52_238,VPWR,li1,115.6900,155.0400,1.799859
FILLER_52_231,VPWR,li1,112.4700,155.0400,1.799860
FILLER_52_225,VPWR,li1,109.4800,155.0400,1.799861
FILLER_52_223,VPWR,li1,108.3300,155.0400,1.799861
FILLER_52_217,VPWR,li1,106.7200,155.0400,1.799861
FILLER_52_210,VPWR,li1,102.8100,155.0400,1.799863
FILLER_52_203,VPWR,li1,99.5900,155.0400,1.799864
FILLER_52_197,VPWR,li1,96.6000,155.0400,1.799866
FILLER_52_189,VPWR,li1,93.1500,155.0400,1.799871
FILLER_52_182,VPWR,li1,89.9300,155.0400,1.799874
FILLER_52_174,VPWR,li1,86.4800,155.0400,1.799879
FILLER_52_169,VPWR,li1,83.7200,155.0400,1.799883
FILLER_52_165,VPWR,li1,82.1100,155.0400,1.799883
FILLER_52_153,VPWR,li1,78.6600,155.0400,1.799888
FILLER_52_146,VPWR,li1,73.6000,155.0400,1.799896
FILLER_52_141,VPWR,li1,70.8400,155.0400,1.799900
FILLER_52_138,VPWR,li1,69.4600,155.0400,1.799900
FILLER_52_126,VPWR,li1,66.2400,155.0400,1.799905
FILLER_52_119,VPWR,li1,60.9500,155.0400,1.799915
FILLER_52_113,VPWR,li1,57.9600,155.0400,1.799921
FILLER_52_109,VPWR,li1,56.3500,155.0400,1.799921
FILLER_52_97,VPWR,li1,52.9000,155.0400,1.799927
FILLER_52_85,VPWR,li1,47.3800,155.0400,1.799937
FILLER_52_81,VPWR,li1,43.4700,155.0400,1.799944
FILLER_52_69,VPWR,li1,40.0200,155.0400,1.799950
FILLER_52_57,VPWR,li1,34.5000,155.0400,1.799959
FILLER_52_53,VPWR,li1,30.5900,155.0400,1.799966
FILLER_52_41,VPWR,li1,27.1400,155.0400,1.799972
FILLER_52_29,VPWR,li1,21.6200,155.0400,1.799982
FILLER_52_27,VPWR,li1,18.1700,155.0400,1.799982
FILLER_52_15,VPWR,li1,15.1800,155.0400,1.799982
FILLER_52_3,VPWR,li1,9.6600,155.0400,1.799982
FILLER_51_308,VPWR,li1,147.8900,149.6000,1.799084
FILLER_51_289,VPWR,li1,139.1500,149.6000,1.799089
FILLER_51_281,VPWR,li1,136.6200,149.6000,1.799092
FILLER_51_249,VPWR,li1,122.8200,149.6000,1.799127
FILLER_51_237,VPWR,li1,117.3000,149.6000,1.799142
FILLER_51_225,VPWR,li1,111.7800,149.6000,1.799164
FILLER_51_223,VPWR,li1,108.3300,149.6000,1.799186
FILLER_51_219,VPWR,li1,107.1800,149.6000,1.799186
FILLER_51_213,VPWR,li1,103.7300,149.6000,1.799202
FILLER_51_205,VPWR,li1,101.6600,149.6000,1.799212
FILLER_51_193,VPWR,li1,97.0600,149.6000,1.799237
FILLER_51_181,VPWR,li1,91.5400,149.6000,1.799275
FILLER_51_169,VPWR,li1,86.0200,149.6000,1.799302
FILLER_51_166,VPWR,li1,82.3400,149.6000,1.799338
FILLER_51_154,VPWR,li1,79.1200,149.6000,1.799356
FILLER_51_142,VPWR,li1,73.6000,149.6000,1.799392
FILLER_51_137,VPWR,li1,69.0000,149.6000,1.799434
FILLER_51_125,VPWR,li1,65.7800,149.6000,1.799453
FILLER_51_113,VPWR,li1,60.2600,149.6000,1.799505
FILLER_51_109,VPWR,li1,56.3500,149.6000,1.799543
FILLER_51_97,VPWR,li1,52.9000,149.6000,1.799560
FILLER_51_85,VPWR,li1,47.3800,149.6000,1.799619
