net,length_um
_0078_,197.19µm
net126,196.43µm
net117,193.38µm
net130,192.68µm
net80,190.3µm
_0074_,188.56µm
net104,177.86µm
net79,177.18µm
net113,176.4µm
_0079_,175.57µm
net82,171.48µm
net89,169.63µm
net99,163.91µm
net121,163.6µm
net100,152.78µm
net124,148.475µm
net84,147.775µm
net78,147.18µm
net128,146.22µm
_0070_,146.06µm
net3,144.81µm
clknet_0_clk,144.53µm
net123,142.355µm
_0076_,141.24µm
net5,138.8µm
clknet_3_2__leaf_clk,138.52µm
net119,138.38µm
net83,137.18µm
net86,136.64µm
_0085_,136.1µm
net97,128.8µm
net116,127.78µm
net18,127.56µm
net17,127.49µm
_0073_,127.13µm
net2,125.08µm
_0080_,124.82µm
net125,123.195µm
_0232_,120.14µm
net118,119.235µm
_0000_,118.885µm
net103,118.37µm
net107,117.595µm
net132,116.02µm
net115,114µm
net122,112.965µm
clk,112.11µm
net95,111.03µm
net76,110.8µm
net127,109.94µm
net111,109.18µm
v_pipe,108.86µm
net114,108.36µm
net85,103.34µm
clknet_3_3__leaf_clk,98.68µm
net77,97.08µm
_0196_,96.9µm
clknet_3_7__leaf_clk,95.79µm
clknet_3_0__leaf_clk,93.88µm
_0077_,93.5µm
net105,92.14µm
net129,91.86µm
net102,90.1µm
clknet_3_5__leaf_clk,88.46µm
net87,87.76µm
_0086_,86.58µm
clknet_3_6__leaf_clk,85.52µm
net101,84.7µm
_0075_,83.12µm
net75,80.415µm
net131,78.365µm
_0082_,76.32µm
net94,75.58µm
net81,74.48µm
net93,71.02µm
net109,70.5µm
net92,70.08µm
clknet_3_4__leaf_clk,69.88µm
net74,68.09µm
net88,67.29µm
net108,66.69µm
net71,65.325µm
net159,64.72µm
net155,63.62µm
net110,62.02µm
_0386_,61.6µm
net120,60.93µm
_0479_,60.72µm
_0182_,60.7µm
net72,60.15µm
net90,59.76µm
net16,59.54µm
_0427_,59.16µm
net91,58.24µm
_0586_,58.02µm
net112,55.84µm
_0210_,55.36µm
_0475_,53.7µm
net38,53.45µm
_0366_,52.6µm
net15,51.94µm
net98,50.34µm
_0375_,49.72µm
net68,49.56µm
clknet_3_1__leaf_clk,48.715µm
_0653_,48.45µm
product_reg\[5\],48.32µm
_0428_,47.76µm
_0478_,47.3µm
net41,46.96µm
_0374_,46.36µm
net40,46.14µm
net42,45.08µm
net57,44.92µm
_0083_,44.76µm
_0484_,44.32µm
_0319_,44.24µm
_0468_,44µm
net44,43.84µm
net6,43.5µm
_0437_,43.44µm
_0216_,43.12µm
net106,42.85µm
net66,42.84µm
_0620_,42.46µm
product_reg\[0\],42.11µm
_0081_,42µm
_0357_,41.52µm
net65,41.22µm
_0342_,41.02µm
_0384_,40.72µm
_0376_,40.64µm
_0429_,40.48µm
net52,40.2µm
_0515_,40µm
net39,40µm
_0409_,39.96µm
_0395_,39.94µm
_0412_,39.94µm
_0394_,39.88µm
net9,39.88µm
_0408_,39.84µm
_0438_,39.82µm
_0407_,39.5µm
_0406_,39.12µm
product_reg\[3\],38.8µm
_0343_,38.62µm
net64,38.48µm
net48,38.4µm
_0279_,38.18µm
net67,38.18µm
net55,37.74µm
_0483_,37.48µm
_0494_,37.4µm
product_reg\[9\],37.28µm
net11,36.73µm
net4,36.52µm
_0247_,36.22µm
net27,36.08µm
net19,36.06µm
_0538_,35.92µm
_0393_,35.78µm
_0293_,35.68µm
_0585_,35.61µm
_0337_,35.48µm
net45,35.24µm
_0430_,34.88µm
net14,34.84µm
net43,34.78µm
_0557_,34.74µm
_0325_,34.46µm
_0535_,34.36µm
_0537_,34.34µm
_0498_,33.54µm
net20,33.54µm
_0353_,33.42µm
_0204_,33.36µm
net58,33.34µm
_0280_,33.06µm
_0539_,32.72µm
_0396_,32.02µm
product_reg\[7\],31.94µm
_0397_,31.7µm
_0466_,31.6µm
product_reg\[2\],31.26µm
product_reg\[1\],31.1µm
_0266_,31.06µm
_0633_,30.85µm
_0588_,30.66µm
_0385_,30.63µm
_0103_,30.54µm
_0141_,30.37µm
_0547_,30.24µm
_0504_,30.15µm
_0415_,29.74µm
_0470_,29.58µm
_0486_,29.55µm
_0579_,29.4µm
_0556_,29.24µm
_0308_,29.22µm
_0631_,29.22µm
_0410_,29.16µm
_0611_,28.89µm
_0426_,28.48µm
_0264_,28.34µm
_0609_,28.205µm
_0193_,28.2µm
_0578_,28.14µm
_0664_,28.08µm
_0453_,28.04µm
_0381_,27.9µm
_0511_,27.54µm
_0548_,27.5µm
net53,27.48µm
_0294_,27.1µm
_0665_,27.06µm
net13,27.06µm
_0454_,26.94µm
_0326_,26.82µm
_0467_,26.7µm
_0126_,26.66µm
net1,26.64µm
_0677_,26.56µm
_0607_,26.16µm
net7,26.1µm
_0356_,25.7µm
_0327_,25.68µm
_0589_,25.68µm
_0576_,25.66µm
_0307_,25.62µm
_0476_,25.58µm
product_reg\[15\],25.36µm
product_reg\[6\],25.31µm
net49,25.28µm
net37,25.205µm
_0487_,25.02µm
_0654_,25.02µm
_0195_,24.98µm
_0267_,24.96µm
_0632_,24.82µm
_0510_,24.8µm
_0529_,24.66µm
_0452_,24.46µm
_0173_,24.44µm
_0615_,24.44µm
net148,24.34µm
_0344_,24.24µm
_0514_,24.1µm
_0560_,24.04µm
_0606_,23.96µm
_0338_,23.88µm
_0477_,23.88µm
_0639_,23.7µm
net63,23.68µm
product_reg\[14\],23.6µm
_0151_,23.26µm
_0555_,23.18µm
_0499_,23.06µm
_0295_,22.88µm
_0291_,22.8µm
_0421_,22.8µm
_0222_,22.76µm
_0361_,22.76µm
product_reg\[4\],22.76µm
_0273_,22.67µm
_0157_,22.64µm
net12,22.62µm
_0553_,22.44µm
_0496_,22.36µm
_0354_,22.3µm
_0595_,22.22µm
product_reg\[11\],22.18µm
_0328_,22.16µm
_0300_,21.96µm
_0138_,21.88µm
_0488_,21.82µm
net50,21.82µm
_0432_,21.8µm
_0331_,21.76µm
_0155_,21.66µm
_0183_,21.58µm
_0413_,21.58µm
_0245_,21.56µm
_0329_,21.46µm
_0281_,21.44µm
_0411_,21.12µm
_0638_,20.96µm
product_reg\[13\],20.92µm
product_reg\[12\],20.915µm
net56,20.88µm
_0242_,20.8µm
_0364_,20.765µm
_0256_,20.64µm
_0233_,20.62µm
_0666_,20.62µm
_0534_,20.5µm
_0197_,20.38µm
_0572_,20.38µm
_0369_,20.36µm
_0435_,20.32µm
_0355_,20.26µm
_0169_,20.2µm
_0613_,20.2µm
net136,20.125µm
_0558_,20.12µm
_0420_,19.84µm
_0084_,19.62µm
_0567_,19.61µm
_0315_,19.58µm
_0569_,19.46µm
_0275_,19.38µm
_0509_,19.28µm
_0368_,19.18µm
_0164_,19.16µm
net60,19.16µm
_0304_,19.14µm
_0316_,19.04µm
_0641_,18.98µm
_0575_,18.76µm
net59,18.74µm
_0284_,18.7µm
product_reg\[10\],18.6µm
_0257_,18.44µm
_0106_,18.335µm
_0389_,18.28µm
net62,18.28µm
_0463_,18.16µm
_0320_,18.14µm
_0532_,18.12µm
_0495_,18.1µm
_0501_,18.08µm
_0610_,18.02µm
_0440_,17.98µm
_0621_,17.9µm
_0339_,17.78µm
_0226_,17.74µm
_0309_,17.6µm
_0561_,17.58µm
_0422_,17.48µm
net142,17.32µm
_0431_,17.29µm
net268,17.25µm
_0146_,17.08µm
_0455_,17.06µm
_0543_,17µm
net156,16.98µm
_0436_,16.88µm
_0367_,16.86µm
_0542_,16.86µm
_0625_,16.83µm
_0251_,16.75µm
_0526_,16.7µm
_0460_,16.66µm
_0550_,16.62µm
_0332_,16.58µm
_0110_,16.54µm
_0419_,16.44µm
_0473_,16.44µm
net140,16.36µm
_0596_,16.34µm
_0648_,16.28µm
_0554_,16.24µm
_0598_,16.24µm
_0536_,16.22µm
_0524_,16.18µm
_0292_,16.16µm
_0159_,16.12µm
_0125_,16.06µm
_0636_,16.04µm
_0153_,16.02µm
_0305_,15.98µm
_0584_,15.98µm
_0240_,15.94µm
_0340_,15.88µm
_0336_,15.78µm
_0601_,15.76µm
_0387_,15.72µm
_0531_,15.64µm
_0597_,15.6µm
_0500_,15.56µm
_0388_,15.49µm
_0187_,15.48µm
_0465_,15.44µm
_0489_,15.42µm
_0634_,15.365µm
_0178_,15.34µm
_0234_,15.34µm
_0269_,15.32µm
_0351_,15.26µm
net46,15.19µm
_0674_,15.16µm
_0068_,15.08µm
_0180_,15.06µm
_0278_,15µm
_0645_,14.945µm
_0424_,14.92µm
_0302_,14.86µm
_0132_,14.84µm
_0400_,14.8µm
_0268_,14.62µm
_0152_,14.38µm
_0405_,14.38µm
_0237_,14.3µm
product_reg\[8\],14.3µm
net154,14.3µm
_0095_,14.02µm
_0523_,13.96µm
_0163_,13.88µm
_0505_,13.84µm
b_in[2],13.79µm
b_in[0],13.69µm
_0590_,13.64µm
_0599_,13.64µm
_0113_,13.6µm
_0363_,13.58µm
_0312_,13.56µm
_0587_,13.56µm
_0379_,13.52µm
_0365_,13.5µm
_0265_,13.48µm
_0402_,13.46µm
_0647_,13.46µm
_0290_,13.44µm
_0348_,13.42µm
_0521_,13.38µm
_0263_,13.34µm
_0324_,13.34µm
_0571_,13.34µm
net145,13.14µm
_0622_,13.08µm
_0546_,13.06µm
_0250_,13.04µm
_0276_,13.04µm
_0272_,13.03µm
_0034_,13.005µm
_0260_,13µm
_0111_,12.98µm
psum[25],12.97µm
_0559_,12.8µm
_0644_,12.78µm
_0456_,12.75µm
_0323_,12.74µm
_0461_,12.72µm
_0642_,12.72µm
_0391_,12.68µm
_0497_,12.68µm
_0525_,12.68µm
_0147_,12.66µm
_0221_,12.64µm
_0341_,12.64µm
_0591_,12.595µm
_0612_,12.56µm
_0616_,12.54µm
_0474_,12.48µm
_0230_,12.46µm
net152,12.28µm
net288,12.24µm
_0399_,12.22µm
_0241_,12.18µm
_0144_,12.16µm
_0170_,12.16µm
_0651_,12.16µm
_0680_,12.12µm
_0552_,12.1µm
_0244_,12.08µm
psum[21],12.05µm
_0299_,12.04µm
_0630_,12.04µm
_0442_,12.02µm
_0614_,12µm
_0667_,11.98µm
_0321_,11.96µm
_0472_,11.96µm
_0359_,11.9µm
psum[27],11.89µm
_0145_,11.88µm
_0287_,11.84µm
_0398_,11.835µm
_0067_,11.82µm
_0502_,11.8µm
_0072_,11.74µm
_0661_,11.74µm
psum[22],11.69µm
net10,11.64µm
_0238_,11.6µm
_0626_,11.54µm
_0303_,11.5µm
_0658_,11.46µm
_0158_,11.42µm
_0458_,11.42µm
net51,11.38µm
_0098_,11.34µm
_0123_,11.32µm
_0414_,11.28µm
_0520_,11.28µm
net8,11.28µm
_0392_,11.22µm
_0090_,11.2µm
_0451_,11.16µm
_0383_,11.12µm
_0490_,11.12µm
net300,11.12µm
net293,11.1µm
_0433_,11.06µm
_0434_,11.04µm
_0253_,11µm
_0508_,11µm
_0097_,10.96µm
_0139_,10.96µm
_0140_,10.96µm
_0252_,10.96µm
_0673_,10.94µm
_0602_,10.88µm
_0646_,10.88µm
_0660_,10.84µm
psum[20],10.83µm
_0568_,10.82µm
_0270_,10.8µm
_0457_,10.8µm
_0176_,10.74µm
_0049_,10.725µm
_0574_,10.72µm
net54,10.72µm
_0041_,10.7µm
_0333_,10.7µm
net47,10.7µm
_0223_,10.66µm
_0445_,10.64µm
_0624_,10.6µm
_0618_,10.55µm
psum[24],10.51µm
_0119_,10.5µm
_0335_,10.38µm
psum[14],10.33µm
_0105_,10.32µm
_0637_,10.28µm
_0471_,10.26µm
_0175_,10.2µm
v_a_in,10.2µm
v_b_in,10.2µm
_0570_,10.18µm
_0003_,10.145µm
_0104_,10.04µm
_0334_,10.04µm
_0134_,10µm
_0493_,10µm
net269,9.94µm
net289,9.94µm
_0352_,9.92µm
net274,9.92µm
_0507_,9.88µm
_0188_,9.86µm
_0469_,9.78µm
a_in[7],9.74µm
b_in[6],9.74µm
b_in[7],9.74µm
_0224_,9.7µm
_0185_,9.655µm
a_out[4],9.64µm
a_out[5],9.64µm
b_out[5],9.64µm
v_b_out,9.64µm
_0480_,9.62µm
_0214_,9.58µm
_0112_,9.575µm
_0069_,9.52µm
_0373_,9.5µm
psum[8],9.45µm
_0418_,9.36µm
_0581_,9.36µm
_0608_,9.36µm
net162,9.36µm
_0549_,9.32µm
net31,9.32µm
_0306_,9.2µm
net144,9.2µm
a_out[7],9.18µm
b_out[6],9.18µm
b_out[7],9.18µm
psum[15],9.18µm
psum[30],9.18µm
psum[31],9.18µm
v_a_out,9.18µm
_0258_,9.165µm
_0099_,9.14µm
_0314_,9.08µm
_0686_,9.08µm
_0318_,9.02µm
_0403_,9.02µm
_0563_,9.02µm
net25,8.98µm
_0087_,8.96µm
a_out[0],8.96µm
a_out[1],8.96µm
a_out[2],8.96µm
a_out[3],8.96µm
b_out[2],8.96µm
b_out[3],8.96µm
b_out[4],8.96µm
_0124_,8.9µm
_0360_,8.9µm
net32,8.9µm
_0350_,8.88µm
_0662_,8.86µm
a_in[2],8.84µm
net143,8.82µm
_0551_,8.78µm
a_in[0],8.72µm
a_in[1],8.72µm
_0512_,8.7µm
_0443_,8.68µm
_0016_,8.64µm
_0423_,8.62µm
net35,8.52µm
_0285_,8.5µm
b_out[0],8.5µm
b_out[1],8.5µm
psum[0],8.5µm
psum[1],8.5µm
psum[2],8.5µm
_0506_,8.48µm
_0248_,8.46µm
a_out[6],8.41µm
net271,8.38µm
a_in[3],8.37µm
_0065_,8.355µm
_0289_,8.32µm
psum[4],8.29µm
psum[13],8.27µm
_0594_,8.26µm
_0377_,8.2µm
_0048_,8.165µm
_0671_,8.14µm
_0401_,8.12µm
_0102_,8.1µm
_0459_,8.1µm
_0657_,8.1µm
net26,8.1µm
_0143_,8.06µm
_0206_,8.02µm
_0678_,8.02µm
_0028_,8.005µm
_0372_,8µm
_0362_,7.98µm
_0533_,7.98µm
net23,7.98µm
reset,7.93µm
_0683_,7.88µm
net281,7.82µm
_0296_,7.74µm
_0330_,7.7µm
_0101_,7.68µm
_0676_,7.66µm
_0208_,7.64µm
_0416_,7.64µm
_0545_,7.64µm
net36,7.6µm
_0186_,7.56µm
_0313_,7.56µm
_0239_,7.52µm
clear_acc,7.47µm
_0235_,7.44µm
_0482_,7.44µm
_0390_,7.4µm
b_in[1],7.35µm
_0685_,7.32µm
_0215_,7.22µm
_0006_,7.205µm
_0088_,7.18µm
_0229_,7.14µm
_0441_,7.14µm
psum[16],7.13µm
psum[3],7.13µm
_0282_,7.12µm
_0100_,7.1µm
_0127_,7.1µm
_0249_,7.1µm
_0283_,7.08µm
_0655_,7.08µm
_0255_,7.06µm
_0298_,7.06µm
_0349_,7.06µm
_0371_,7.06µm
_0485_,7.06µm
_0167_,7.04µm
_0297_,7µm
_0133_,6.96µm
_0679_,6.94µm
_0202_,6.88µm
_0161_,6.86µm
_0672_,6.84µm
_0071_,6.82µm
_0201_,6.78µm
_0649_,6.74µm
net157,6.74µm
_0181_,6.72µm
_0218_,6.72µm
_0481_,6.72µm
net70,6.72µm
psum[18],6.67µm
_0261_,6.66µm
_0448_,6.66µm
_0449_,6.66µm
_0540_,6.64µm
net287,6.64µm
_0179_,6.6µm
_0228_,6.6µm
_0681_,6.6µm
net24,6.6µm
_0623_,6.54µm
_0670_,6.54µm
_0121_,6.5µm
psum[10],6.45µm
psum[17],6.45µm
psum[26],6.45µm
psum[6],6.45µm
psum[5],6.43µm
_0030_,6.425µm
net302,6.425µm
net96,6.4µm
_0117_,6.36µm
net297,6.32µm
a_in[5],6.31µm
_0684_,6.3µm
net282,6.3µm
net298,6.3µm
_0043_,6.285µm
_0617_,6.26µm
net61,6.26µm
net295,6.26µm
_0322_,6.18µm
net153,6.18µm
net158,6.14µm
psum[11],6.09µm
_0118_,6.08µm
_0044_,6.065µm
net273,6.06µm
_0203_,5.96µm
_0213_,5.96µm
_0108_,5.94µm
_0619_,5.9µm
_0541_,5.86µm
net150,5.84µm
net270,5.84µm
net285,5.84µm
_0107_,5.82µm
_0142_,5.82µm
_0008_,5.805µm
_0053_,5.805µm
_0516_,5.8µm
net28,5.8µm
_0060_,5.775µm
psum[28],5.77µm
psum[29],5.77µm
psum[9],5.77µm
psum[12],5.75µm
psum[19],5.75µm
_0184_,5.72µm
_0562_,5.72µm
net141,5.72µm
_0056_,5.705µm
_0096_,5.68µm
_0168_,5.68µm
_0209_,5.68µm
_0503_,5.68µm
_0603_,5.68µm
net22,5.68µm
_0635_,5.65µm
b_in[3],5.63µm
_0205_,5.6µm
_0446_,5.6µm
_0522_,5.6µm
net138,5.56µm
_0243_,5.52µm
_0094_,5.4µm
_0462_,5.4µm
_0225_,5.38µm
net279,5.38µm
_0345_,5.36µm
_0027_,5.34µm
_0129_,5.34µm
_0162_,5.34µm
_0207_,5.34µm
net34,5.34µm
net69,5.34µm
net160,5.34µm
_0148_,5.28µm
_0154_,5.26µm
_0156_,5.26µm
_0583_,5.26µm
net29,5.26µm
_0131_,5.22µm
_0491_,5.22µm
_0036_,5.185µm
_0120_,5.14µm
_0045_,5.095µm
_0001_,5.085µm
a_in[6],5.07µm
psum[7],5.07µm
net278,5.06µm
net299,5.06µm
_0492_,5.02µm
_0174_,4.92µm
_0605_,4.92µm
_0628_,4.92µm
net284,4.92µm
_0259_,4.9µm
_0009_,4.885µm
_0439_,4.88µm
_0447_,4.88µm
_0527_,4.88µm
_0656_,4.82µm
_0194_,4.8µm
net33,4.8µm
_0528_,4.78µm
_0370_,4.76µm
_0380_,4.76µm
net21,4.76µm
psum[23],4.73µm
_0055_,4.72µm
_0219_,4.7µm
a_in[4],4.61µm
b_in[4],4.61µm
b_in[5],4.61µm
_0091_,4.48µm
net290,4.48µm
net291,4.48µm
_0122_,4.44µm
_0417_,4.44µm
_0189_,4.42µm
_0190_,4.42µm
_0580_,4.42µm
net146,4.42µm
_0277_,4.36µm
_0682_,4.36µm
_0166_,4.34µm
_0177_,4.34µm
_0358_,4.34µm
_0643_,4.34µm
_0059_,4.295µm
_0063_,4.295µm
_0089_,4.28µm
_0038_,4.265µm
_0220_,4.24µm
_0199_,4.22µm
_0347_,4.22µm
_0659_,4.22µm
_0135_,4.11µm
_0513_,4.08µm
_0032_,4.045µm
_0404_,4.02µm
_0236_,4µm
net301,4µm
_0042_,3.985µm
_0015_,3.925µm
_0024_,3.925µm
_0254_,3.88µm
_0211_,3.76µm
_0544_,3.76µm
_0592_,3.76µm
_0212_,3.74µm
net267,3.68µm
_0286_,3.66µm
net147,3.64µm
_0047_,3.6µm
_0130_,3.56µm
_0600_,3.56µm
_0669_,3.56µm
net280,3.56µm
_0262_,3.54µm
_0573_,3.54µm
_0604_,3.54µm
_0035_,3.515µm
_0064_,3.505µm
_0050_,3.465µm
net272,3.465µm
net151,3.44µm
_0092_,3.42µm
_0317_,3.42µm
_0450_,3.42µm
_0565_,3.42µm
_0058_,3.405µm
_0057_,3.385µm
_0031_,3.345µm
_0029_,3.32µm
_0246_,3.3µm
