Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_52_309,VGND,li1,148.1200,152.3200,0.000242
FILLER_52_305,VGND,li1,146.5100,152.3200,0.000242
FILLER_52_293,VGND,li1,143.0600,152.3200,0.000242
FILLER_52_281,VGND,li1,137.5400,152.3200,0.000242
FILLER_52_266,VGND,li1,128.3400,152.3200,0.000242
FILLER_52_261,VGND,li1,125.8100,152.3200,0.000242
FILLER_52_253,VGND,li1,123.7400,152.3200,0.000242
FILLER_52_251,VGND,li1,121.2100,152.3200,0.000242
FILLER_52_245,VGND,li1,119.6000,152.3200,0.000242
FILLER_52_221,VGND,li1,107.8700,152.3200,0.000239
FILLER_52_189,VGND,li1,93.1500,152.3200,0.000222
FILLER_52_182,VGND,li1,89.9300,152.3200,0.000217
FILLER_52_174,VGND,li1,86.4800,152.3200,0.000211
FILLER_52_169,VGND,li1,83.7200,152.3200,0.000207
FILLER_52_165,VGND,li1,82.1100,152.3200,0.000203
FILLER_52_153,VGND,li1,78.6600,152.3200,0.000197
FILLER_52_146,VGND,li1,73.6000,152.3200,0.000189
FILLER_52_141,VGND,li1,70.8400,152.3200,0.000179
FILLER_52_138,VGND,li1,69.4600,152.3200,0.000179
FILLER_52_126,VGND,li1,66.2400,152.3200,0.000171
FILLER_52_119,VGND,li1,60.9500,152.3200,0.000157
FILLER_52_113,VGND,li1,57.9600,152.3200,0.000143
FILLER_52_109,VGND,li1,56.3500,152.3200,0.000143
FILLER_52_97,VGND,li1,52.9000,152.3200,0.000133
FILLER_52_85,VGND,li1,47.3800,152.3200,0.000115
FILLER_52_81,VGND,li1,43.4700,152.3200,0.000103
FILLER_52_69,VGND,li1,40.0200,152.3200,0.000087
FILLER_52_57,VGND,li1,34.5000,152.3200,0.000070
FILLER_52_53,VGND,li1,30.5900,152.3200,0.000054
FILLER_52_41,VGND,li1,27.1400,152.3200,0.000044
FILLER_52_29,VGND,li1,21.6200,152.3200,0.000036
FILLER_52_27,VGND,li1,18.1700,152.3200,0.000036
FILLER_52_15,VGND,li1,15.1800,152.3200,0.000036
FILLER_52_3,VGND,li1,9.6600,152.3200,0.000036
FILLER_51_309,VGND,li1,148.1200,152.3200,0.000242
FILLER_51_295,VGND,li1,142.6000,152.3200,0.000242
FILLER_51_281,VGND,li1,135.7000,152.3200,0.000242
FILLER_51_249,VGND,li1,122.8200,152.3200,0.000242
FILLER_51_237,VGND,li1,117.3000,152.3200,0.000242
FILLER_51_225,VGND,li1,111.7800,152.3200,0.000241
FILLER_51_211,VGND,li1,103.5000,152.3200,0.000236
FILLER_51_201,VGND,li1,98.4400,152.3200,0.000231
FILLER_51_193,VGND,li1,96.1400,152.3200,0.000227
FILLER_51_181,VGND,li1,91.5400,152.3200,0.000222
FILLER_51_169,VGND,li1,86.0200,152.3200,0.000211
FILLER_51_165,VGND,li1,82.1100,152.3200,0.000203
FILLER_51_151,VGND,li1,75.9000,152.3200,0.000193
FILLER_51_138,VGND,li1,69.6900,152.3200,0.000179
FILLER_51_126,VGND,li1,66.2400,152.3200,0.000171
