Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_52_309,VPWR,li1,148.1200,155.0400,1.799806
FILLER_52_305,VPWR,li1,146.5100,155.0400,1.799806
FILLER_52_293,VPWR,li1,143.0600,155.0400,1.799806
FILLER_52_281,VPWR,li1,137.5400,155.0400,1.799806
FILLER_52_266,VPWR,li1,128.3400,155.0400,1.799806
FILLER_52_261,VPWR,li1,125.8100,155.0400,1.799806
FILLER_52_253,VPWR,li1,123.7400,155.0400,1.799806
FILLER_52_251,VPWR,li1,121.2100,155.0400,1.799806
FILLER_52_245,VPWR,li1,119.6000,155.0400,1.799806
FILLER_52_221,VPWR,li1,107.8700,155.0400,1.799809
FILLER_52_189,VPWR,li1,93.1500,155.0400,1.799825
FILLER_52_182,VPWR,li1,89.9300,155.0400,1.799830
FILLER_52_174,VPWR,li1,86.4800,155.0400,1.799836
FILLER_52_169,VPWR,li1,83.7200,155.0400,1.799841
FILLER_52_165,VPWR,li1,82.1100,155.0400,1.799841
FILLER_52_153,VPWR,li1,78.6600,155.0400,1.799849
FILLER_52_146,VPWR,li1,73.6000,155.0400,1.799860
FILLER_52_141,VPWR,li1,70.8400,155.0400,1.799865
FILLER_52_138,VPWR,li1,69.4600,155.0400,1.799865
FILLER_52_126,VPWR,li1,66.2400,155.0400,1.799871
FILLER_52_119,VPWR,li1,60.9500,155.0400,1.799886
FILLER_52_113,VPWR,li1,57.9600,155.0400,1.799893
FILLER_52_109,VPWR,li1,56.3500,155.0400,1.799893
FILLER_52_97,VPWR,li1,52.9000,155.0400,1.799901
FILLER_52_85,VPWR,li1,47.3800,155.0400,1.799914
FILLER_52_81,VPWR,li1,43.4700,155.0400,1.799924
FILLER_52_69,VPWR,li1,40.0200,155.0400,1.799932
FILLER_52_57,VPWR,li1,34.5000,155.0400,1.799945
FILLER_52_53,VPWR,li1,30.5900,155.0400,1.799955
FILLER_52_41,VPWR,li1,27.1400,155.0400,1.799963
FILLER_52_29,VPWR,li1,21.6200,155.0400,1.799976
FILLER_52_27,VPWR,li1,18.1700,155.0400,1.799976
FILLER_52_15,VPWR,li1,15.1800,155.0400,1.799976
FILLER_52_3,VPWR,li1,9.6600,155.0400,1.799976
FILLER_51_309,VPWR,li1,148.1200,149.6000,1.798577
FILLER_51_295,VPWR,li1,142.6000,149.6000,1.798577
FILLER_51_281,VPWR,li1,135.7000,149.6000,1.798587
FILLER_51_249,VPWR,li1,122.8200,149.6000,1.798629
FILLER_51_237,VPWR,li1,117.3000,149.6000,1.798648
FILLER_51_225,VPWR,li1,111.7800,149.6000,1.798676
FILLER_51_211,VPWR,li1,103.5000,149.6000,1.798728
FILLER_51_201,VPWR,li1,98.4400,149.6000,1.798767
FILLER_51_193,VPWR,li1,96.1400,149.6000,1.798796
FILLER_51_181,VPWR,li1,91.5400,149.6000,1.798837
FILLER_51_169,VPWR,li1,86.0200,149.6000,1.798881
FILLER_51_165,VPWR,li1,82.1100,149.6000,1.798938
FILLER_51_151,VPWR,li1,75.9000,149.6000,1.798993
FILLER_51_138,VPWR,li1,69.6900,149.6000,1.799086
FILLER_51_126,VPWR,li1,66.2400,149.6000,1.799117
FILLER_51_117,VPWR,li1,59.5700,149.6000,1.799206
FILLER_51_113,VPWR,li1,58.4200,149.6000,1.799238
FILLER_51_110,VPWR,li1,56.5800,149.6000,1.799266
FILLER_51_98,VPWR,li1,53.3600,149.6000,1.799294
FILLER_51_86,VPWR,li1,47.8400,149.6000,1.799395
FILLER_51_77,VPWR,li1,41.6300,149.6000,1.799490
FILLER_51_69,VPWR,li1,39.1000,149.6000,1.799532
